base_confidence,confidence_threshold,boost_confidence,accuracy,correct_predictions,total_predictions
0.15,0.1,0.1,0.5885714285714285,206,350
0.15,0.1,0.15,0.5828571428571429,204,350
0.15,0.1,0.2,0.5828571428571429,204,350
0.15,0.1,0.25,0.5828571428571429,204,350
0.15,0.1,0.3,0.58,203,350
0.15,0.1,0.35,0.58,203,350
0.15,0.1,0.4,0.58,203,350
0.15,0.1,0.45,0.58,203,350
0.15,0.1,0.5,0.58,203,350
0.2,0.1,0.1,0.8857142857142857,310,350
0.2,0.1,0.15,0.5942857142857143,208,350
0.2,0.1,0.2,0.5942857142857143,208,350
0.2,0.1,0.25,0.5885714285714285,206,350
0.2,0.1,0.3,0.5885714285714285,206,350
0.2,0.1,0.35,0.5828571428571429,204,350
0.2,0.1,0.4,0.5828571428571429,204,350
0.2,0.1,0.45,0.5828571428571429,204,350
0.2,0.1,0.5,0.5828571428571429,204,350
0.2,0.15,0.1,0.5942857142857143,208,350
0.2,0.15,0.15,0.5885714285714285,206,350
0.2,0.15,0.2,0.5828571428571429,204,350
0.2,0.15,0.25,0.5828571428571429,204,350
0.2,0.15,0.3,0.58,203,350
0.2,0.15,0.35,0.58,203,350
0.2,0.15,0.4,0.58,203,350
0.2,0.15,0.45,0.58,203,350
0.2,0.15,0.5,0.58,203,350
0.25,0.1,0.1,0.8857142857142857,310,350
0.25,0.1,0.15,0.8857142857142857,310,350
0.25,0.1,0.2,0.5942857142857143,208,350
0.25,0.1,0.25,0.5942857142857143,208,350
0.25,0.1,0.3,0.5942857142857143,208,350
0.25,0.1,0.35,0.5885714285714285,206,350
0.25,0.1,0.4,0.5885714285714285,206,350
0.25,0.1,0.45,0.5828571428571429,204,350
0.25,0.1,0.5,0.5828571428571429,204,350
0.25,0.15,0.1,0.8857142857142857,310,350
0.25,0.15,0.15,0.5942857142857143,208,350
0.25,0.15,0.2,0.5942857142857143,208,350
0.25,0.15,0.25,0.5885714285714285,206,350
0.25,0.15,0.3,0.5885714285714285,206,350
0.25,0.15,0.35,0.5828571428571429,204,350
0.25,0.15,0.4,0.5828571428571429,204,350
0.25,0.15,0.45,0.5828571428571429,204,350
0.25,0.15,0.5,0.5828571428571429,204,350
0.25,0.2,0.1,0.5942857142857143,208,350
0.25,0.2,0.15,0.5885714285714285,206,350
0.25,0.2,0.2,0.5828571428571429,204,350
0.25,0.2,0.25,0.5828571428571429,204,350
0.25,0.2,0.3,0.58,203,350
0.25,0.2,0.35,0.58,203,350
0.25,0.2,0.4,0.58,203,350
0.25,0.2,0.45,0.58,203,350
0.25,0.2,0.5,0.58,203,350
0.3,0.1,0.1,0.8857142857142857,310,350
0.3,0.1,0.15,0.8857142857142857,310,350
0.3,0.1,0.2,0.5942857142857143,208,350
0.3,0.1,0.25,0.5942857142857143,208,350
0.3,0.1,0.3,0.5942857142857143,208,350
0.3,0.1,0.35,0.5942857142857143,208,350
0.3,0.1,0.4,0.5885714285714285,206,350
0.3,0.1,0.45,0.5885714285714285,206,350
0.3,0.1,0.5,0.5885714285714285,206,350
0.3,0.15,0.1,0.8857142857142857,310,350
0.3,0.15,0.15,0.8857142857142857,310,350
0.3,0.15,0.2,0.5942857142857143,208,350
0.3,0.15,0.25,0.5942857142857143,208,350
0.3,0.15,0.3,0.5942857142857143,208,350
0.3,0.15,0.35,0.5885714285714285,206,350
0.3,0.15,0.4,0.5885714285714285,206,350
0.3,0.15,0.45,0.5828571428571429,204,350
0.3,0.15,0.5,0.5828571428571429,204,350
0.3,0.2,0.1,0.5942857142857143,208,350
0.3,0.2,0.15,0.5942857142857143,208,350
0.3,0.2,0.2,0.5885714285714285,206,350
0.3,0.2,0.25,0.5885714285714285,206,350
0.3,0.2,0.3,0.5828571428571429,204,350
0.3,0.2,0.35,0.5828571428571429,204,350
0.3,0.2,0.4,0.5828571428571429,204,350
0.3,0.2,0.45,0.5828571428571429,204,350
0.3,0.2,0.5,0.5828571428571429,204,350
0.3,0.25,0.1,0.5942857142857143,208,350
0.3,0.25,0.15,0.5885714285714285,206,350
0.3,0.25,0.2,0.5828571428571429,204,350
0.3,0.25,0.25,0.5828571428571429,204,350
0.3,0.25,0.3,0.58,203,350
0.3,0.25,0.35,0.58,203,350
0.3,0.25,0.4,0.58,203,350
0.3,0.25,0.45,0.58,203,350
0.3,0.25,0.5,0.58,203,350
0.35,0.1,0.1,0.8857142857142857,310,350
0.35,0.1,0.15,0.8857142857142857,310,350
0.35,0.1,0.2,0.8857142857142857,310,350
0.35,0.1,0.25,0.5942857142857143,208,350
0.35,0.1,0.3,0.5942857142857143,208,350
0.35,0.1,0.35,0.5942857142857143,208,350
0.35,0.1,0.4,0.5942857142857143,208,350
0.35,0.1,0.45,0.5942857142857143,208,350
0.35,0.1,0.5,0.5885714285714285,206,350
0.35,0.15,0.1,0.8857142857142857,310,350
0.35,0.15,0.15,0.8857142857142857,310,350
0.35,0.15,0.2,0.5942857142857143,208,350
0.35,0.15,0.25,0.5942857142857143,208,350
0.35,0.15,0.3,0.5942857142857143,208,350
0.35,0.15,0.35,0.5942857142857143,208,350
0.35,0.15,0.4,0.5885714285714285,206,350
0.35,0.15,0.45,0.5885714285714285,206,350
0.35,0.15,0.5,0.5885714285714285,206,350
0.35,0.2,0.1,0.8857142857142857,310,350
0.35,0.2,0.15,0.5942857142857143,208,350
0.35,0.2,0.2,0.5942857142857143,208,350
0.35,0.2,0.25,0.5942857142857143,208,350
0.35,0.2,0.3,0.5885714285714285,206,350
0.35,0.2,0.35,0.5885714285714285,206,350
0.35,0.2,0.4,0.5885714285714285,206,350
0.35,0.2,0.45,0.5828571428571429,204,350
0.35,0.2,0.5,0.5828571428571429,204,350
0.35,0.25,0.1,0.5942857142857143,208,350
0.35,0.25,0.15,0.5942857142857143,208,350
0.35,0.25,0.2,0.5885714285714285,206,350
0.35,0.25,0.25,0.5885714285714285,206,350
0.35,0.25,0.3,0.5828571428571429,204,350
0.35,0.25,0.35,0.5828571428571429,204,350
0.35,0.25,0.4,0.5828571428571429,204,350
0.35,0.25,0.45,0.5828571428571429,204,350
0.35,0.25,0.5,0.5828571428571429,204,350
0.35,0.3,0.1,0.5942857142857143,208,350
0.35,0.3,0.15,0.5885714285714285,206,350
0.35,0.3,0.2,0.5828571428571429,204,350
0.35,0.3,0.25,0.5828571428571429,204,350
0.35,0.3,0.3,0.58,203,350
0.35,0.3,0.35,0.58,203,350
0.35,0.3,0.4,0.58,203,350
0.35,0.3,0.45,0.58,203,350
0.35,0.3,0.5,0.58,203,350
0.4,0.1,0.1,0.8857142857142857,310,350
0.4,0.1,0.15,0.8857142857142857,310,350
0.4,0.1,0.2,0.8857142857142857,310,350
0.4,0.1,0.25,0.8857142857142857,310,350
0.4,0.1,0.3,0.8857142857142857,310,350
0.4,0.1,0.35,0.5942857142857143,208,350
0.4,0.1,0.4,0.5942857142857143,208,350
0.4,0.1,0.45,0.5942857142857143,208,350
0.4,0.1,0.5,0.5942857142857143,208,350
0.4,0.15,0.1,0.8857142857142857,310,350
0.4,0.15,0.15,0.8857142857142857,310,350
0.4,0.15,0.2,0.8857142857142857,310,350
0.4,0.15,0.25,0.8857142857142857,310,350
0.4,0.15,0.3,0.5942857142857143,208,350
0.4,0.15,0.35,0.5942857142857143,208,350
0.4,0.15,0.4,0.5942857142857143,208,350
0.4,0.15,0.45,0.5942857142857143,208,350
0.4,0.15,0.5,0.5942857142857143,208,350
0.4,0.2,0.1,0.8857142857142857,310,350
0.4,0.2,0.15,0.8857142857142857,310,350
0.4,0.2,0.2,0.8857142857142857,310,350
0.4,0.2,0.25,0.5942857142857143,208,350
0.4,0.2,0.3,0.5942857142857143,208,350
0.4,0.2,0.35,0.5942857142857143,208,350
0.4,0.2,0.4,0.5942857142857143,208,350
0.4,0.2,0.45,0.5885714285714285,206,350
0.4,0.2,0.5,0.5885714285714285,206,350
0.4,0.25,0.1,0.8857142857142857,310,350
0.4,0.25,0.15,0.8857142857142857,310,350
0.4,0.25,0.2,0.5942857142857143,208,350
0.4,0.25,0.25,0.5942857142857143,208,350
0.4,0.25,0.3,0.5942857142857143,208,350
0.4,0.25,0.35,0.5885714285714285,206,350
0.4,0.25,0.4,0.5885714285714285,206,350
0.4,0.25,0.45,0.5885714285714285,206,350
0.4,0.25,0.5,0.5828571428571429,204,350
0.4,0.3,0.1,0.8857142857142857,310,350
0.4,0.3,0.15,0.5942857142857143,208,350
0.4,0.3,0.2,0.5942857142857143,208,350
0.4,0.3,0.25,0.5885714285714285,206,350
0.4,0.3,0.3,0.5885714285714285,206,350
0.4,0.3,0.35,0.5828571428571429,204,350
0.4,0.3,0.4,0.5828571428571429,204,350
0.4,0.3,0.45,0.5828571428571429,204,350
0.4,0.3,0.5,0.5828571428571429,204,350
0.4,0.35,0.1,0.5942857142857143,208,350
0.4,0.35,0.15,0.5885714285714285,206,350
0.4,0.35,0.2,0.5828571428571429,204,350
0.4,0.35,0.25,0.5828571428571429,204,350
0.4,0.35,0.3,0.58,203,350
0.4,0.35,0.35,0.58,203,350
0.4,0.35,0.4,0.58,203,350
0.4,0.35,0.45,0.58,203,350
0.4,0.35,0.5,0.58,203,350
0.45,0.1,0.1,0.8857142857142857,310,350
0.45,0.1,0.15,0.8857142857142857,310,350
0.45,0.1,0.2,0.8857142857142857,310,350
0.45,0.1,0.25,0.8857142857142857,310,350
0.45,0.1,0.3,0.8857142857142857,310,350
0.45,0.1,0.35,0.8857142857142857,310,350
0.45,0.1,0.4,0.5942857142857143,208,350
0.45,0.1,0.45,0.5942857142857143,208,350
0.45,0.1,0.5,0.5942857142857143,208,350
0.45,0.15,0.1,0.8857142857142857,310,350
0.45,0.15,0.15,0.8857142857142857,310,350
0.45,0.15,0.2,0.8857142857142857,310,350
0.45,0.15,0.25,0.8857142857142857,310,350
0.45,0.15,0.3,0.8857142857142857,310,350
0.45,0.15,0.35,0.5942857142857143,208,350
0.45,0.15,0.4,0.5942857142857143,208,350
0.45,0.15,0.45,0.5942857142857143,208,350
0.45,0.15,0.5,0.5942857142857143,208,350
0.45,0.2,0.1,0.8857142857142857,310,350
0.45,0.2,0.15,0.8857142857142857,310,350
0.45,0.2,0.2,0.8857142857142857,310,350
0.45,0.2,0.25,0.8857142857142857,310,350
0.45,0.2,0.3,0.5942857142857143,208,350
0.45,0.2,0.35,0.5942857142857143,208,350
0.45,0.2,0.4,0.5942857142857143,208,350
0.45,0.2,0.45,0.5942857142857143,208,350
0.45,0.2,0.5,0.5942857142857143,208,350
0.45,0.25,0.1,0.8857142857142857,310,350
0.45,0.25,0.15,0.8857142857142857,310,350
0.45,0.25,0.2,0.8857142857142857,310,350
0.45,0.25,0.25,0.5942857142857143,208,350
0.45,0.25,0.3,0.5942857142857143,208,350
0.45,0.25,0.35,0.5942857142857143,208,350
0.45,0.25,0.4,0.5942857142857143,208,350
0.45,0.25,0.45,0.5885714285714285,206,350
0.45,0.25,0.5,0.5885714285714285,206,350
0.45,0.3,0.1,0.8857142857142857,310,350
0.45,0.3,0.15,0.8857142857142857,310,350
0.45,0.3,0.2,0.5942857142857143,208,350
0.45,0.3,0.25,0.5942857142857143,208,350
0.45,0.3,0.3,0.5942857142857143,208,350
0.45,0.3,0.35,0.5885714285714285,206,350
0.45,0.3,0.4,0.5885714285714285,206,350
0.45,0.3,0.45,0.5885714285714285,206,350
0.45,0.3,0.5,0.5828571428571429,204,350
0.45,0.35,0.1,0.8857142857142857,310,350
0.45,0.35,0.15,0.5942857142857143,208,350
0.45,0.35,0.2,0.5942857142857143,208,350
0.45,0.35,0.25,0.5885714285714285,206,350
0.45,0.35,0.3,0.5885714285714285,206,350
0.45,0.35,0.35,0.5828571428571429,204,350
0.45,0.35,0.4,0.5828571428571429,204,350
0.45,0.35,0.45,0.5828571428571429,204,350
0.45,0.35,0.5,0.5828571428571429,204,350
0.45,0.4,0.1,0.5942857142857143,208,350
0.45,0.4,0.15,0.5885714285714285,206,350
0.45,0.4,0.2,0.5828571428571429,204,350
0.45,0.4,0.25,0.5828571428571429,204,350
0.45,0.4,0.3,0.58,203,350
0.45,0.4,0.35,0.58,203,350
0.45,0.4,0.4,0.58,203,350
0.45,0.4,0.45,0.58,203,350
0.45,0.4,0.5,0.58,203,350
0.5,0.1,0.1,0.8857142857142857,310,350
0.5,0.1,0.15,0.8857142857142857,310,350
0.5,0.1,0.2,0.8857142857142857,310,350
0.5,0.1,0.25,0.8857142857142857,310,350
0.5,0.1,0.3,0.8857142857142857,310,350
0.5,0.1,0.35,0.8857142857142857,310,350
0.5,0.1,0.4,0.5942857142857143,208,350
0.5,0.1,0.45,0.5942857142857143,208,350
0.5,0.1,0.5,0.5942857142857143,208,350
0.5,0.15,0.1,0.8857142857142857,310,350
0.5,0.15,0.15,0.8857142857142857,310,350
0.5,0.15,0.2,0.8857142857142857,310,350
0.5,0.15,0.25,0.8857142857142857,310,350
0.5,0.15,0.3,0.8857142857142857,310,350
0.5,0.15,0.35,0.8857142857142857,310,350
0.5,0.15,0.4,0.5942857142857143,208,350
0.5,0.15,0.45,0.5942857142857143,208,350
0.5,0.15,0.5,0.5942857142857143,208,350
0.5,0.2,0.1,0.8857142857142857,310,350
0.5,0.2,0.15,0.8857142857142857,310,350
0.5,0.2,0.2,0.8857142857142857,310,350
0.5,0.2,0.25,0.8857142857142857,310,350
0.5,0.2,0.3,0.8857142857142857,310,350
0.5,0.2,0.35,0.5942857142857143,208,350
0.5,0.2,0.4,0.5942857142857143,208,350
0.5,0.2,0.45,0.5942857142857143,208,350
0.5,0.2,0.5,0.5942857142857143,208,350
0.5,0.25,0.1,0.8857142857142857,310,350
0.5,0.25,0.15,0.8857142857142857,310,350
0.5,0.25,0.2,0.8857142857142857,310,350
0.5,0.25,0.25,0.8857142857142857,310,350
0.5,0.25,0.3,0.5942857142857143,208,350
0.5,0.25,0.35,0.5942857142857143,208,350
0.5,0.25,0.4,0.5942857142857143,208,350
0.5,0.25,0.45,0.5942857142857143,208,350
0.5,0.25,0.5,0.5942857142857143,208,350
0.5,0.3,0.1,0.8857142857142857,310,350
0.5,0.3,0.15,0.8857142857142857,310,350
0.5,0.3,0.2,0.8857142857142857,310,350
0.5,0.3,0.25,0.5942857142857143,208,350
0.5,0.3,0.3,0.5942857142857143,208,350
0.5,0.3,0.35,0.5942857142857143,208,350
