ticker,cleaned_tweet,senti_label,date
AMZN,Dow futures up by 100 points already,bullish,2020-01-01
TSLA,Daddy's drinkin' eArly tonight! Here's to a PT of ohhhhh $1000 in 2020!,bullish,2020-01-01
AAPL,We’ll been riding since last December from $172.12 what to do. Decisions decisions hmm . I have 20 mins to decide. Any suggestions?,bullish,2020-01-01
TSLA,"happy new year, 2020, everyone",bullish,2020-01-01
TSLA,haha just a collection of greats...Mars rofl bork,bullish,2020-01-01
TSLA,NOBODY Gas cars driven by humans killed 1000s upon 1000s in 2019. Tesla shorts OMG DID YOU HEAR 2 PEOPLE DIED FROM A TESLA CRASH,bullish,2020-01-01
DIS,when is the shorts squeeze is what I wanna know,bullish,2020-01-02
AAPL,Just so fkn crazy we hit 300 before earnings.. it does get you thinking how high could it get by then with iPhone 11 sales being pretty good and AirPods being sold out everywhere,bullish,2020-01-02
TSLA,"Hate to say I called it, but I called it.",bullish,2020-01-02
AAPL,"Happy New Year. $300 soon. I made the call 3 months ago, when it was $200. Thank you Apple",bullish,2020-01-02
AAPL,where are all the peeps posting bearish since $200,bullish,2020-01-02
AAPL,Apple is taking things UP in 2020 $AAPL,bullish,2020-01-02
HD,Bought more at today's low. She is turning. Stars aligned.,bullish,2020-01-02
AAPL,"called it, the bear comment below makes me chuckle inside. So sweeet",bullish,2020-01-02
AAPL,"Remember, if you short every day, one of those days you will be right",bullish,2020-01-02
AAPL,$300 calls First trade of 2020 Congrats to all bulls,bullish,2020-01-02
AAPL,not a bad day wish I wouldnt have sold those 20 300 calls on monday. Still took a decent profit for next week calls though,bullish,2020-01-02
TSLA,can one hear the bear as it cries in the forest?,bullish,2020-01-03
AAPL,"I’m out for now!! I don’t think it’ll dip big, but if it does it’ll be nice",bullish,2020-01-03
AAPL,"$1,000 by the end of January",bearish,2020-01-03
TSLA,Ignore the clowns and bears! Marvelous opportunity awaits the longterm bulls!,bullish,2020-01-03
TSLA,not see anything like this with Tesla stock in the last 3 years. It'll be an EPIC year in 2020 when model Y roll out in summer.,bullish,2020-01-03
GOOGL,good thing I loaded up on puts,bearish,2020-01-03
TSLA,Don’t short. It’s a Trap lol see you at 7 up day,bullish,2020-01-03
NVDA,This should be at least 300 already,bullish,2020-01-03
AAPL,tomorrow buy time on the dip then green,bullish,2020-01-03
AAPL,Thanks for that dip. Let the bears talk their gibberish and ignore it.,bullish,2020-01-03
AMZN,who ever shorted today will be deported from US if you are immigrants,bullish,2020-01-03
AAPL,short this bears . Never go against Apple.,bullish,2020-01-03
AAPL,leave enough red to buy calls at open,bullish,2020-01-03
TSLA,shorts are f u c k e d,bullish,2020-01-03
TSLA,I must rise to a level where winning does not elate me and losing does not deflate me. But it's not going to happen today.,bullish,2020-01-03
