ticker,cleaned_tweet,senti_label
AMZN,Dow futures up by 100 points already,bullish
TSLA,Daddy's drinkin' eArly tonight! Here's to a PT of ohhhhh $1000 in 2020!,bullish
AAPL,We’ll been riding since last December from $172.12 what to do. Decisions decisions hmm . I have 20 mins to decide. Any suggestions?,bullish
TSLA,"happy new year, 2020, everyone",bullish
TSLA,haha just a collection of greats...Mars rofl bork,bullish
TSLA,NOBODY Gas cars driven by humans killed 1000s upon 1000s in 2019. Tesla shorts OMG DID YOU HEAR 2 PEOPLE DIED FROM A TESLA CRASH,bullish
AAPL,$300 calls First trade of 2020 Congrats to all bulls,bullish
AAPL,"Remember, if you short every day, one of those days you will be right",bullish
AAPL,"called it, the bear comment below makes me chuckle inside. So sweeet",bullish
HD,Bought more at today's low. She is turning. Stars aligned.,bullish
AAPL,Apple is taking things UP in 2020 $AAPL,bullish
AAPL,not a bad day wish I wouldnt have sold those 20 300 calls on monday. Still took a decent profit for next week calls though,bullish
AAPL,where are all the peeps posting bearish since $200,bullish
NVDA,This should be at least 300 already,bullish
AAPL,tomorrow buy time on the dip then green,bullish
AAPL,Thanks for that dip. Let the bears talk their gibberish and ignore it.,bullish
AAPL,leave enough red to buy calls at open,bullish
AAPL,short this bears . Never go against Apple.,bullish
TSLA,I must rise to a level where winning does not elate me and losing does not deflate me. But it's not going to happen today.,bullish
TSLA,shorts are f u c k e d,bullish
TSLA,Don’t short. It’s a Trap lol see you at 7 up day,bullish
AMZN,who ever shorted today will be deported from US if you are immigrants,bullish
TSLA,not see anything like this with Tesla stock in the last 3 years. It'll be an EPIC year in 2020 when model Y roll out in summer.,bullish
TSLA,can one hear the bear as it cries in the forest?,bullish
TSLA,Ignore the clowns and bears! Marvelous opportunity awaits the longterm bulls!,bullish
GOOGL,good thing I loaded up on puts,bearish
AAPL,"$1,000 by the end of January",bearish
AAPL,it’s just too funny and easy to laugh at bears at this point. Why don’t you guys do something useful like find a good job so you can afford to buy Apple instead of just posting jealous hate and looking like a,bullish
AAPL,"once hits 300 today, needs another 100 points to reach 400 like that smart gentleman said on CNBC this am",bullish
AMZN,I hope we can come close to touching 2000 either tomorrow or Wednesday,bullish
TSLA,"Squeal like a pig, Chanos! Squeal like a pig!!",bullish
NFLX,336 test to possibly test 340s tomorrow ALL DAY mentions since open,bullish
TSLA,shorts thought they are making a quick and easy bet.....hahhaha,bullish
TSLA,if you had only listened bears...,bullish
TSLA,Once again $TSLA keeps roasting the shorts,bullish
TSLA,BUT BUTT WW3? Screw the sink this stock has had the whole house thrown at it and still goes up. You bears are real s,bullish
TSLA,Congratulations to Elon and SpaceX for another successful drone ship landing. ...the man is in the zone!!,bullish
FB,"Finally gapped up. Took a year and half to do it, but f’ck it feels good. Long and strong . Let’s keep this train moving. Still has some more to go before I’ll even consider selling my calls of any of my shares.",bullish
TSLA,these bears constantly post old a$$ pics of crashed Tesla’s hahahahaha. Have you not learned yet I’m pretty sure your account learned by now Hope you readyyyy for what’s next,bullish
TSLA,Top of the channel $485 believe it,bullish
TSLA,wow jpm with a whole $20,bullish
DIS,"Just keep falling, just keep falling, just keep falling falling falling. What does DIS do all month? Falling falling falling -Dory",bearish
AAPL,Bears Shorts Later Today,bullish
TSLA,head fake w more short covering.,bullish
BA,Stocks usually look bearish until they don’t lol. BA BA BOOM,bullish
WMT,I would of thought $WMT would have got hit a little harder with that 54.6 million dollar lawsuit they just lost for not paying their drivers.,bearish
TSLA,"bears I say, you really do have some good points, and you’re right this may pull back, but why would you get in front of this right now? Or over the last month? There’s other opportunities out there even for your hateful selves",bullish
TSLA,$470 by open tomorrow. Get your electric rocket ships ready we going to the moon,bullish
TSLA,have only 2000$ im not going far with this at this point,bullish
TSLA,man I can't wait till the day Tesla start paying out dividends... once that announcement happens the stock will explode before the Ex-date,bullish
FB,stop selling!! My $215 weekly calls are getting wrecked!,bullish
TSLA,should i do a search of all the mark this post from the bear shorts that have been fried the last month?,bullish
AMZN,CONGRATS TO ALL THE LONG - there were some trying times but our patience IS being rewarded- lots more to come,bullish
TSLA,we’ll it’s not BYND mane it’s not too late to buy just maybe,bullish
TSLA,"yep, especially put buyers and call chasers oof",bullish
AAPL,who is ready to open tomorrow at $290. It’s time,bearish
AAPL,Green by morning my ass!! Y’all should have taken profits,bearish
AAPL,buy 300 call easy money,bearish
AAPL,maybe dan Ives at Wedbush can reimburse all you chasers for your losses. Or maybe not,bearish
TSLA,another target raised to $556 wow. When the dust settles this will,bullish
TSLA,if this takes a big dip tomorrow morning I’m closing all my hedges and rolling my $525k of sub $300 strike Jan 17 calls up to $400 strike calls... bring it on,bullish
TSLA,wow it's great to wake up to this! This is going to open at 475 and maybe hit 500 today!!!,bullish
TSLA,"Bullish AF to the mewn, but that 15 point bubble-pop drop last night was not a good feeling while holding calls bork",bullish
DIS,"small piece of advice, if you’re long calls, turning them into spreads before close really helps reduce risk. Then you can close the short leg out in the morning, usually for a profit when things are starting to look bullish again",bullish
TSLA,"Oh yeah, was that yesterday? 30 point run. Give me $489!",bullish
TSLA,"I just took profits and resized my position a few days ago, soon I’ll be doing it again.",bullish
TSLA,Bwahahaha there isn’t a thing capable of stopping this train,bullish
TSLA,who’s making tendies missed this run,bullish
AAPL,short term people need to pull some off the table with all uncertainty floating around. This is just dicey,bearish
TSLA,people seem to have forgotten about the energy business,bullish
TSLA,"i thought $500 by end of week, not middle of week",bullish
AAPL,What makes bulls believe that Terrorist will stop launching rockets,bearish
TSLA,grabbed a $500 call and flipped it for over 100. Paid for my loser put and then some. Rolled over to a $515. Let’s keep the party going.,bullish
TSLA,remember this? Now it seems like a distant memory... 2 weeks ago,bullish
TSLA,bunch of cocaine and two chicks at the same time,bullish
AAPL,hahaha many bears buying putsell. Strong strong but we wanna see 305 before close hahaha,bullish
TSM,...we will definitely close at $59 today.,bullish
BABA,"yeez guys, dont sell off now ... this dragon has just started to fly",bullish
DIS,Since July 2019 DIS has gone up 0 I’m guessing it will continue going sideways,bearish
TSLA,this is WILD. And I’m loving every bit of it,bullish
TSLA,For years Kind of going nowhere.. Now the most loved company in the world,bullish
